Order,Property Id,DOF Gross Floor Area,Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,Community Board,Census Tract,log_Direct GHG Emissions (Metric Tons CO2e),log_Water Use (All Water Sources) (kgal),log_Water Intensity (All Water Sources) (gal/ft²),Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Multifamily Housing,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility
1225,2660336,191223.0,180000.0,1906,1,100,94.1,,12.2,0.5,11839.4,53.82,40.73348,-73.99315899999999,2.0,61.0,6.414278293550759,9.379188231478265,3.9856451452987596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14065,2815495,120336.0,113498.0,1948,1,100,162.1,170.5,14.0,1.2,14710.9,129.61,,,,,6.5594735844014265,9.596343994592685,4.864529941435284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11768,3127814,58400.0,58390.0,1931,1,100,72.9,76.9,3.3,0.7,,,40.62123,-73.939865,18.0,738.0,5.251225759014186,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,3526663,125240.0,64296.0,1994,1,75,29.0,29.0,8.5,0.0,27280.0,424.29,40.623067999999996,-74.149304,1.0,30301.0,-2.3025850929940455,10.213909111957399,6.050417183700518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4542,3109149,386435.0,405000.0,1960,1,100,80.4,80.1,6.2,0.6,19868.0,47.19,40.769853000000005,-73.954515,8.0,134.0,7.184780771245389,9.896865676227241,3.8541820057382963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4711,4952838,204195.0,205195.0,1927,1,100,57.3,56.8,5.7,0.4,,,40.781634000000004,-73.95826600000001,8.0,15002.0,6.01224708629051,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13150,4410169,59000.0,69500.0,1985,1,100,75.4,83.6,1.8,0.8,529.5,7.16,,,,,5.605066501717044,6.271933165041461,1.9685099809725544,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5015,4952576,255420.0,278640.0,1912,1,100,97.5,97.3,5.8,0.8,13155.1,47.21,40.773635,-73.948786,8.0,136.0,7.042985228242241,9.484564795117869,3.8546057345581954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3378,5863321,59175.0,59767.0,1914,1,100,63.4,65.8,3.6,,,,40.787762,-73.973129,7.0,173.0,5.412984441526163,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8696,5803984,234000.0,234000.0,1961,2,95,125.9,133.2,5.7,0.0,,,40.881195,-73.90804200000001,8.0,289.0,7.519366971559564,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7769,2684949,75390.0,75390.0,1960,1,100,103.6,113.5,4.3,0.0,3265.7,43.32,40.87645,-73.899767,8.0,273.0,6.195221384622002,8.091229413830726,3.76861442213279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8470,3107193,71300.0,77212.0,1950,1,100,54.3,,2.9,0.0,,,40.860053,-73.86461,11.0,328.0,5.511006459958388,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,4972273,,1542240.0,1961,2,95,55.8,55.3,4.6,0.1,,,,,,,8.343934443031026,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10854,3068682,93142.0,97779.0,1963,1,100,84.3,87.8,3.7,0.8,8501.3,86.94,40.635040999999994,-73.97251700000001,12.0,484.0,5.911067610035953,9.047974371960569,4.465218225560646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14248,3481968,98187.0,106906.0,2003,1,100,65.3,67.7,6.0,0.5,,,,,,,5.534179690270021,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3915,4226803,502158.0,468907.0,1981,1,100,159.4,157.3,11.5,1.2,26084.0,55.63,40.750415000000004,-73.973635,6.0,88.0,8.00202481821611,10.169077378513093,4.018722624087202,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2641757,,89506.0,1978,1,100,76.4,81.0,10.9,0.4,3236.1,36.15,,,,,5.230038525794742,8.082124180049494,3.5876769486047735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2260,2715955,88560.0,92988.0,1912,1,100,117.7,125.3,13.0,0.0,857.2,9.22,40.745059000000005,-73.98494000000001,5.0,74.0,6.210800860079238,6.753671263599422,2.2213750375685026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7998,5837663,89250.0,104125.0,1928,1,100,75.0,80.5,3.0,0.1,,,40.882887,-73.879962,7.0,431.0,6.1855911493516995,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3798,1313050,254185.0,304871.0,1954,1,95,78.7,83.0,13.8,,,,40.761783,-73.970638,5.0,11202.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1276,4040428,67421.0,69443.0,1952,1,100,35.8,35.8,5.5,,3522.6,50.73,40.735352,-73.99616800000001,2.0,63.0,4.471638793363569,8.166954632298195,3.9265174515785985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9464,3524217,119750.0,103788.0,2010,1,100,34.8,35.7,9.7,0.0,,,40.665292,-73.950942,9.0,321.0,2.72785282839839,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1383,3536971,108600.0,107990.0,2003,1,100,159.6,159.7,17.7,1.0,14024.5,129.87,40.739919,-74.006106,2.0,79.0,6.338770741042614,9.548561079131513,4.866533950121999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13368,2643991,122833.0,134080.0,1952,1,100,63.2,67.3,2.5,0.6,4757.6,35.48,,,,,5.973300576480311,8.467498618392383,3.5689691574413787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5597,4526899,65706.0,76657.0,1935,1,95,68.2,,,,,,40.809727,-73.953035,10.0,257.0,5.435467204695271,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13777,3530213,81120.0,81100.0,1959,1,100,95.1,95.2,4.6,0.1,,,,,,,6.133831788394904,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11338,2805195,149400.0,164340.0,1941,1,100,65.3,69.0,3.6,0.6,6355.5,38.67,40.627684,-73.960757,14.0,532.0,6.1316611776012655,8.757075858734723,3.6550641056192057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4983,4043770,153347.0,150961.0,1961,1,100,72.3,73.6,5.7,0.5,,,40.77641,-73.94824200000001,8.0,14402.0,6.039778407386533,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7233,2563063,55000.0,57750.0,1920,1,100,91.7,,4.0,0.8,8154.0,141.19,40.845634000000004,-73.922151,5.0,21301.0,5.486869473092628,9.006263883379198,4.950106501021434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3030,4921986,231733.0,236368.0,1930,1,100,56.2,60.1,4.7,,5430.2,22.97,40.772104999999996,-73.97896999999999,7.0,149.0,6.556778356158042,8.599731244662207,3.134189016701007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8718,2679532,108700.0,108700.0,1949,1,100,92.3,100.6,4.8,0.8,16899.2,155.47,40.883381,-73.914212,8.0,297.0,6.07970433595739,9.735021562512614,5.046452786961649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3962,5846064,115020.0,115020.0,1962,1,100,88.8,93.7,6.3,0.7,5971.0,51.91,40.758033000000005,-73.968261,6.0,98.0,6.007829901194246,8.694669696546992,3.9495114498391377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2789,3944375,238667.0,192761.0,1962,1,100,122.9,126.8,14.9,,18723.0,94.91,40.761127,-73.98694,5.0,125.0,6.967909201801884,9.837507993602152,4.5529290741424004,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4440,2796206,330000.0,320000.0,1980,1,100,61.6,63.3,10.2,0.3,12336.1,38.55,40.767767,-73.961881,8.0,126.0,6.100094711633431,9.420285202125637,3.6519561000093383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4327,2670795,160890.0,125000.0,1924,1,100,106.6,114.4,8.3,0.0,,,40.767902,-73.965848,8.0,120.0,1.791759469228055,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6202,4398836,218536.0,218536.0,1954,1,100,120.9,130.7,2.2,0.4,9461.6,43.3,40.857137,-73.935751,12.0,273.0,7.425953657077541,9.154996780936907,3.768152635008444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12741,4952670,145341.0,137104.0,1954,1,100,93.9,99.0,4.1,0.8,,,,,,,6.391246872080648,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11234,2820259,75000.0,75000.0,1951,1,100,97.4,,3.7,0.8,6456.4,86.08,40.628993,-73.96794799999999,14.0,456.0,5.843834230103957,8.772827165899125,4.455277096413474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11350,4407973,62100.0,62200.0,1929,1,100,34.5,,8.1,,6158.2,99.01,40.624908000000005,-73.956249,14.0,762.0,,8.725539806034343,4.595220855134423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,3311612,99911.0,119893.0,1906,1,100,66.4,70.4,4.5,0.5,5228.8,43.61,40.718465,-73.98307700000001,3.0,12.0,5.7698822763607245,8.56193708522563,3.775286481854675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924,5767652,50563.0,53723.0,2005,1,100,70.3,73.0,9.2,0.4,,,40.718821999999996,-73.987147,3.0,18.0,4.678420647727684,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,5245508,51000.0,36000.0,1925,1,100,61.0,61.0,3.0,0.5,2008.4,39.38,40.726799,-74.00561,2.0,37.0,4.925077405734609,7.605093664160551,3.6732580732109796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5895,5229921,100000.0,100000.0,1910,1,100,143.8,143.8,14.6,0.9,,,40.838712,-73.941468,12.0,245.0,6.214007918350159,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,2681893,323092.0,315000.0,1890,1,100,65.8,68.2,7.7,0.2,1842.5,5.33,40.728745,-73.994945,2.0,5501.0,6.773995288802613,7.5188786240634915,1.673351238177753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3079,2747252,124867.0,134473.0,1907,1,100,57.2,62.0,3.9,0.5,,,40.778219,-73.974509,7.0,161.0,5.738505910714586,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11672,4021657,117500.0,117500.0,1961,1,100,80.5,85.3,3.7,0.7,6124.9,52.13,40.592765,-73.941468,15.0,59402.0,6.038586654176717,8.720117708749036,3.9537405987800147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8432,4926057,75114.0,75114.0,1931,1,100,164.2,177.1,4.3,0.8,1055.6,14.05,40.855985,-73.863834,11.0,228.0,6.5703225812658,6.961864604629169,2.642622395779755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12023,5793317,66926.0,66926.0,2008,1,95,59.3,62.2,7.7,0.4,1433.3,21.42,,,,,4.758749273916392,7.26773475692917,3.064325065019603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7941,4028585,62548.0,62548.0,1920,1,100,68.7,71.9,3.6,0.6,6603.1,105.57,40.868634,-73.894728,7.0,40304.0,5.225746673713202,8.79529451471112,4.659374240001603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5785,3091439,145691.0,142990.0,1984,1,100,114.3,121.8,7.0,1.0,,,40.828536,-73.945181,9.0,23501.0,6.527811708104051,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3677,3351766,84500.0,74485.0,1990,1,100,145.9,151.1,12.7,1.1,8733.0,117.25,40.752058,-73.981466,5.0,82.0,5.987456525710443,9.074864232413733,4.764308407326388,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6752,4374696,57720.0,59087.0,1940,1,95,87.3,86.9,4.7,0.7,,,40.83364,-73.928145,4.0,189.0,5.4053764388414445,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9528,2771732,84768.0,97485.0,1924,1,100,56.8,59.1,3.3,0.5,13530.8,138.8,40.66859,-73.927072,8.0,357.0,5.4510384535657,9.512723847280856,4.933034048072704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9761,2692932,63540.0,50123.0,1915,1,100,95.3,102.7,5.2,0.8,2207.6,44.04,40.681615,-73.964483,2.0,201.0,5.342334251964811,7.699661231565346,3.785098311854479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2264,2676097,111457.0,114745.0,1938,1,100,80.2,87.7,6.0,0.1,,,40.745331,-73.984716,5.0,74.0,6.225943608085937,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8203,3114849,66000.0,73260.0,1928,1,100,93.4,,4.0,0.8,9543.5,130.27,40.830622999999996,-73.875843,9.0,54.0,5.732693818150621,9.163615573469947,4.8696092197094725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2501,4951949,165594.0,152755.0,1960,1,100,89.8,94.9,10.5,0.0,,,40.748434,-73.976714,6.0,80.0,2.8678989020441064,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11801,2942072,76698.0,84368.0,1950,1,100,81.9,84.6,6.2,0.6,8033.8,95.22,40.622952000000005,-73.935897,18.0,736.0,5.594711379601839,8.99141292040971,4.556190003766373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8358,4043973,82015.0,84475.0,2002,1,100,94.2,99.7,6.3,0.8,7402.8,87.63,40.84901,-73.86852900000001,11.0,220.0,5.781977322241258,8.909613586003593,4.473123405067759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10135,4405050,66978.0,67200.0,2009,1,100,60.4,63.0,4.6,0.5,2241.6,33.36,40.683682,-73.910178,4.0,403.0,5.060694493968993,7.714945175582742,3.507357577490546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2540,2780837,200299.0,200299.0,1970,1,100,61.5,64.6,5.1,0.0,,,40.737991,-73.980839,6.0,64.0,3.0726933146901194,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8573,3857658,66710.0,66710.0,1928,1,100,78.9,82.9,4.3,0.6,,,40.887809000000004,-73.86383000000001,12.0,394.0,5.449320240084564,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14310,5819945,58300.0,59000.0,1940,1,100,29.4,31.2,9.1,,3226.3,54.68,,,,,,8.079091248781776,4.001498011855749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2231,2676433,341125.0,203053.0,2006,1,100,88.8,,14.7,,9448.6,34.59,40.743827,-73.98790699999999,5.0,56.0,6.415914955127227,9.15362186136462,3.5435646229490776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6010,2817531,70920.0,77683.0,1922,1,100,100.2,103.8,9.2,0.7,6900.6,83.07,40.842556,-73.93925300000001,12.0,253.0,5.706113089994483,8.83936364332659,4.41968362585098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4588,3129463,238180.0,236350.0,1962,1,100,111.2,110.8,6.6,0.9,9733.8,41.18,40.767517,-73.955347,8.0,124.0,7.0085955939082085,9.183359643644408,3.717952701599643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13028,5832581,69352.0,80911.0,1928,1,100,17.6,17.2,3.9,,2746.3,33.94,,,,,3.1135153092103742,7.918009830178507,3.52459425980608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3535,4403222,84026.0,95958.0,1985,1,100,88.1,92.9,3.2,0.0,3256.3,33.93,40.790684000000006,-73.97805699999999,7.0,175.0,6.310281848490474,8.08834686047016,3.5242995787961386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13261,2975285,132000.0,163625.0,1939,1,100,64.1,,2.0,0.6,0.0,0.0,,,,,6.215207918494159,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3650,3425518,88722.0,110808.0,1920,1,100,51.5,55.9,7.3,,2011.5,18.15,40.763381,-73.974976,5.0,11201.0,,7.606635991389843,2.8986705607108596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13674,5925855,50660.0,50000.0,1970,1,90,67.5,73.1,1.0,0.7,516480.3,10329.61,,,,,5.136974216139274,13.154792425478517,9.242769807286749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
